description,model_input,true_category,pred_category,true_urgency,pred_urgency,true_asta,pred_asta,category_error,urgency_error,asta_error,asta_cita,legislative_target,impact_scope,register,source
Pemerintah harus SEGERA meningkatkan ketersediaan layanan kesehatan mental untuk masyarakat,legislative target dprd. asta cita misi unknown. impact scope regional. register formal.  aspirasi warga: harus segera meningkatkan ketersediaan layanan kesehatan mental untuk masyarakat,Sosial,Sosial,5,4,8,8,False,True,False,Misi Kesehatan Mental,DPRD,Regional,formal,booster_v3.2
"Penggunaan teknologi digital yang tidak terkendali dapat membahayakan anak-anak di Indonesia, pemerintah harus BAHAYA mengatasi kasus ini dengan peningkatan kesadaran masyarakat dan regulasi yang ketat.","legislative target dprd kabupaten. asta cita misi unknown. impact scope community. register informal.  aspirasi warga: teknologi digital yang tidak terkendali dapat membahayakan anak-anak di indonesia, pemerintah harus bahaya mengatasi kasus ini dengan peningkatan kesadaran masyarakat dan regulasi yang ketat.",Sosial,Sosial,5,5,8,0,False,False,True,Misi Perlindungan Anak,DPRD Kabupaten,Community,informal,booster_v3.2
"Saya melihat kekerasan HAM merajalela di daerah saya, dan saya khawatir akan dampaknya pada warga lainnya! Tolong DPR RI, ambil tindakan segera untuk melindungi kebebasan dan demokrasi!","legislative target dpr ri. asta cita misi 1. impact scope regional. register informal.  aspirasi warga: saya melihat kekerasan ham merajalela di daerah saya, dan saya khawatir akan dampaknya pada warga lainnya! tolong dpr ri, ambil tindakan segera untuk melindungi kebebasan dan demokrasi!",Sosial,Keamanan,5,5,0,0,True,False,False,"Misi 1: Ideologi, Demokrasi, dan HAM",DPR RI,Regional,informal,synthetic_v3.1_asta_urgency
"Jalan di Desa Kalisari, Bali rusak dr tahun lalu, ini bikin warga kesulitan untuk beraktivitas","legislative target dprd kab kota. asta cita misi 6. impact scope individual. register informal.  aspirasi warga: jalan di desa kalisari, bali rusak dari tahun lalu, ini bikin warga kesulitan untuk beraktivitas",Infrastruktur,Infrastruktur,2,3,5,2,False,True,True,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Individual,informal,synthetic_v3.1_asta_urgency
Kami sudah 3 bulan tanpa listrik karena infrastruktur PLN rusak. Saya tahu ada program bantuan tapi masih menunggu proses panjang. Tolong perhatikan kebutuhan masyarakat di daerah saya!,legislative target dprd kab kota. asta cita misi 3. impact scope regional. register informal.  aspirasi warga: kami sudah 3 bulan tanpa listrik karena infrastruktur pln rusak. saya tahu ada program bantuan tapi masih menunggu proses panjang. tolong perhatikan kebutuhan masyarakat di daerah saya!,Ekonomi,Infrastruktur,5,3,2,5,True,True,True,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Kualitas lingkungan hidup di Indonesia sangat memprihatinkan, pemerintah harus SEGERA mengambil tindakan untuk meningkatkan kesadaran masyarakat dan mengatasi kasus polusi lingkungan.","legislative target dprd provinsi. asta cita misi unknown. impact scope regional. register formal.  aspirasi warga: lingkungan hidup di indonesia sangat memprihatinkan, pemerintah harus segera mengambil tindakan untuk meningkatkan kesadaran masyarakat dan mengatasi kasus polusi lingkungan.",Sosial,Lingkungan,5,5,8,7,True,False,True,Misi Lingkungan Hidup yang Sehat,DPRD Provinsi,Regional,formal,booster_v3.2
Kita butuh bantuan untuk mengembangkan sistem pengelolaan keuangan di desa kami yang masih sangat sederhana.,legislative target dprd kab kota. asta cita misi 6. impact scope national. register informal.  aspirasi warga: kita butuh bantuan untuk mengembangkan sistem pengelolaan keuangan di desa kami yang masih sangat sederhana.,Ekonomi,Sosial,1,1,5,5,True,False,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
"Ayo, sekolah harus punya lab bioskop! Anak2 gak perlu makan kacang saat belajar biologi. DPRD Kab/Kota harus turun ke lapangan dan lihat kondisi lab sekolah di daerah ini. Saya rasa ini bisa terjadi dalam 2 tahun lagi.","legislative target dprd kab kota. asta cita misi 4. impact scope individual. register informal.  aspirasi warga: ayo, sekolah harus punya lab bioskop! anak2 tidak perlu makan kacang saat belajar biologi. dprd kab/kota harus turun ke lapangan dan lihat kondisi lab sekolah di daerah ini. saya rasa ini bisa terjadi dalam 2 tahun lagi.",Kesehatan,Pendidikan,1,1,3,3,True,False,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Individual,informal,synthetic_v3.1_asta_urgency
"Kami warga desa di pedesaan, anak-anak kami masih sering sakit karena tidak ada akses ke dokter. Harus ada program pendidikan kesehatan dasar di sekolah ya.","legislative target dprd kab kota. asta cita misi 4. impact scope national. register informal.  aspirasi warga: kami warga desa di pedesaan, anak-anak kami masih sering sakit karena tidak ada akses ke dokter. harus ada program pendidikan kesehatan dasar di sekolah ya.",Kesehatan,Pendidikan,1,3,3,3,True,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
Desa di Kabupaten Magelang Provinsi Jawa Tengah terdampak bencana tanah longsor yang menyebabkan 15 warga terluka dan 10 rumah rusak.,legislative target dpr ri. asta cita misi 6. impact scope individual. register formal.  aspirasi warga: desa di kabupaten magelang provinsi jawa tengah terdampak bencana tanah longsor yang menyebabkan 15 warga terluka dan 10 rumah rusak.,Infrastruktur,Infrastruktur,5,5,5,2,False,False,True,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPR RI,Individual,formal,synthetic_v3.1_asta_urgency
Meningkatkan kualitas pelayanan kesehatan di rumah sakit daerah dengan penambahan fasilitas dan peralatan medis,legislative target dprd. asta cita misi unknown. impact scope regional. register informal.  aspirasi warga: kualitas pelayanan kesehatan di rumah sakit daerah dengan penambahan fasilitas dan peralatan medis,Kesehatan,Sosial,4,4,8,8,True,False,False,Misi Kesehatan Indonesia,DPRD,Regional,informal,booster_v3.2
Infrastruktur jalan rusak di daerah kami membuat kami harus menggunakan jalan alternatif yang lebih lama dan berbahaya. Tolong perhatikan kebutuhan warga di daerah kami!,legislative target dprd kab kota. asta cita misi 3. impact scope regional. register informal.  aspirasi warga: jalan rusak di daerah kami membuat kami harus menggunakan jalan alternatif yang lebih lama dan berbahaya. tolong perhatikan kebutuhan warga di daerah kami!,Ekonomi,Infrastruktur,5,3,2,2,True,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
Mengusulkan perluasan cakupan BPJS Kesehatan untuk memastikan semua warga memiliki akses ke layanan kesehatan,legislative target dpr ri. asta cita misi unknown. impact scope regional. register formal.  aspirasi warga: perluasan cakupan bpjs kesehatan untuk memastikan semua warga memiliki akses ke layanan kesehatan,Kesehatan,Sosial,3,4,8,8,True,True,False,Misi Kesehatan Sosial,DPR RI,Regional,formal,booster_v3.2
"Saya khawatir anak-anak saya akan terpapar penyakit karena sekolah tidak memiliki fasilitas yang lengkap. Saya harap pemerintah bisa segera memperhatikan masalah ini. - Kabupaten W, 2 tahun sudah ada kekurangan fasilitas sekolah.","legislative target dprd kab kota. asta cita misi 4. impact scope national. register informal.  aspirasi warga: saya khawatir anak-anak saya akan terpapar penyakit karena sekolah tidak memiliki fasilitas yang lengkap. saya harap pemerintah bisa segera memperhatikan masalah ini. - kabupaten w, 2 tahun sudah ada kekurangan fasilitas sekolah.",Pendidikan,Pendidikan,4,3,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
"Pengangguran di Kec. Bantul masih banyak, tapi ada harapan karena kawasan industri baru mulai dibangun, tapi pembangunan jln ke sana perlu dipercepat, DPRD Kab/Kota harus lebih cepat!","legislative target dprd kab kota. asta cita misi 3. impact scope regional. register informal.  aspirasi warga: di kec. bantul masih banyak, tapi ada harapan karena kawasan industri baru mulai dibangun, tapi pembangunan jalan ke sana perlu dipercepat, dprd kab/kota harus lebih cepat!",Ekonomi,Ekonomi,3,1,2,2,False,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
Pengembangan program bantuan sosial bagi masyarakat terdampak bencana alam,legislative target dprd. asta cita misi unknown. impact scope national. register informal.  aspirasi warga: program bantuan sosial bagi masyarakat terdampak bencana alam,Sosial,Sosial,3,4,8,8,False,True,False,Membantu masyarakat terdampak bencana,DPRD,National,informal,booster_v3.2
"Di wilayah Kabupaten Tangerang, proyek pembangunan infrastruktur yang ditargetkan rampung pada tahun 2025 telah tersendiri Rp 5 miliar. Namun, korupsi yang melibatkan oknum pejabat daerah telah mengancam keamanan dan kesejahteraan masyarakat yang terdampak. Masyarakat membutuhkan penanganan dari pemerintah yang lebih efektif untuk mengatasi kasus ini.","legislative target dprd kab kota. asta cita misi 7. impact scope individual. register formal.  aspirasi warga: di wilayah kabupaten tangerang, proyek pembangunan infrastruktur yang ditargetkan rampung pada tahun 2025 telah tersendiri rp 5 miliar. namun, korupsi yang melibatkan oknum pejabat daerah telah mengancam keamanan dan kesejahteraan masyarakat yang terdampak. masyarakat membutuhkan penanganan dari pemerintah yang lebih efektif untuk mengatasi kasus ini.",Keamanan,Keamanan,4,2,6,6,False,True,False,"Misi 7: Reformasi Hukum, Birokrasi, dan Pemberantasan Korupsi/Narkoba",DPRD Kab/Kota,Individual,formal,synthetic_v3.1_asta_urgency
"Peningkatan kualitas layanan kesehatan mental untuk masyarakat, terutama bagi mereka yang rentan","legislative target dprd. asta cita misi unknown. impact scope national. register formal.  aspirasi warga: kualitas layanan kesehatan mental untuk masyarakat, terutama bagi mereka yang rentan",Kesehatan,Sosial,4,4,8,8,True,False,False,Misi Sehat Jiwa,DPRD,National,formal,booster_v3.2
Bgt sekali sekolah kami di Desa Buntu harus menutup sementara karena wabah penyakit. Saya khawatir anak-anak warga tidak akan bisa melanjutkan pendidikan. Saya minta bantuan dari pemerintah untuk membangun fasilitas kesehatan yang lebih baik.,legislative target dprd provinsi. asta cita misi 4. impact scope regional. register informal.  aspirasi warga: sangat sekali sekolah kami di desa buntu harus menutup sementara karena wabah penyakit. saya khawatir anak-anak warga tidak akan bisa melanjutkan pendidikan. saya minta bantuan dari pemerintah untuk membangun fasilitas kesehatan yang lebih baik.,Kesehatan,Pendidikan,4,3,3,3,True,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Provinsi,Regional,informal,synthetic_v3.1_asta_urgency
"Gimana sih kalau kita harus jauh-jauh ke kota lain mencari dokter spesialis? Puskesmas di sini sdh kelebihan kapasitas. Jadi warga yg sakit harus mencari solusi sendiri. DPRD Kab/Kota harus ngedakan solusi buat Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan.","legislative target dprd kab kota. asta cita misi 4. impact scope regional. register informal.  aspirasi warga: sih kalau kita harus jauh-jauh ke kota lain mencari dokter spesialis? puskesmas di sini sudah kelebihan kapasitas. jadi warga yang sakit harus mencari solusi sendiri. dprd kab/kota harus ngedakan solusi buat misi 4 sdm, sains, teknologi, pendidikan, kesehatan.",Pendidikan,Pendidikan,3,1,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Keterisian penduduk di Indonesia yang tidak memiliki akses terhadap layanan kesehatan yang memadai sangat tinggi, pemerintah harus SEGERA meningkatkan ketersediaan layanan kesehatan dasar.","legislative target dpr ri. asta cita misi unknown. impact scope regional. register informal.  aspirasi warga: penduduk di indonesia yang tidak memiliki akses terhadap layanan kesehatan yang memadai sangat tinggi, pemerintah harus segera meningkatkan ketersediaan layanan kesehatan dasar.",Sosial,Kesehatan,5,5,8,8,True,False,False,Misi Kesehatan Untuk Semua,DPR RI,Regional,informal,booster_v3.2
Pengelolaan sampah di Kota Solo masih bgt tidak efektif. Harus ada kebijakan yang lebih baik lagi untuk memastikan Kota Solo bersih dan sehat. #EkonomiHijau,legislative target dprd kab kota. asta cita misi 2. impact scope regional. register informal.  aspirasi warga: sampah di kota solo masih sangat tidak efektif. harus ada kebijakan yang lebih baik lagi untuk memastikan kota solo bersih dan sehat. ekonomihijau,Ekonomi,Lingkungan,2,2,1,7,True,False,True,"Misi 2: Swasembada Pangan, Energi, Air, Ekonomi Hijau dan Biru",DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
Kurangnya fasilitas kesehatan di desa Sungai Cengkeh Provinsi Jambi menyebabkan warga sulit mendapatkan akses ke layanan kesehatan yang berkualitas.,legislative target dprd provinsi. asta cita misi 4. impact scope individual. register formal.  aspirasi warga: fasilitas kesehatan di desa sungai cengkeh provinsi jambi menyebabkan warga sulit mendapatkan akses ke layanan kesehatan yang berkualitas.,Kesehatan,Pendidikan,2,3,3,5,True,True,True,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Provinsi,Individual,formal,synthetic_v3.1_asta_urgency
"Rumah sakit di daerah saya tutup dr 3 minggu lalu, warga nggak bisa mendapatkan perawatan!!","legislative target dprd kab kota. asta cita misi 4. impact scope national. register informal.  aspirasi warga: rumah sakit di daerah saya tutup dari 3 minggu lalu, warga tidak bisa mendapatkan perawatan!",Pendidikan,Pendidikan,5,3,3,3,False,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
Pembangunan program kesehatan mental yang komprehensif untuk mengatasi BAHAYA depresi dan kecemasan di kalangan masyarakat,legislative target dpr ri. asta cita misi unknown. impact scope regional. register informal.  aspirasi warga: program kesehatan mental yang komprehensif untuk mengatasi bahaya depresi dan kecemasan di kalangan masyarakat,Kesehatan,Sosial,5,5,8,8,True,False,False,Misi Kesehatan Mental,DPR RI,Regional,informal,booster_v3.2
"Fasilitas rumah sakit di Malang ambruk, bgt tidak layak, perlu bantuan drastis","legislative target dprd provinsi. asta cita misi 4. impact scope individual. register informal.  aspirasi warga: rumah sakit di malang ambruk, sangat tidak layak, perlu bantuan drastis",Kesehatan,Pendidikan,5,3,3,2,True,True,True,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPRD Provinsi,Individual,informal,synthetic_v3.1_asta_urgency
"Gagal panen 10.000 hektar lahan di Jawa Tengah bgt, DPR RI wajib lakukan evaluasi! Misi 2 butuh ditingkatkan, krn dampaknya ke masyarakat","legislative target dpr ri. asta cita misi 2. impact scope regional. register informal.  aspirasi warga: gagal panen 10.00 hektar lahan di jawa tengah bgt, dpr ri wajib lakukan evaluasi! misi 2 butuh ditingkatkan, karena dampaknya ke masyarakat",Lingkungan,Lingkungan,4,3,1,1,False,True,False,"Misi 2: Swasembada Pangan, Energi, Air, Ekonomi Hijau dan Biru",DPR RI,Regional,informal,synthetic_v3.1_asta_urgency
"Saat ini, Jalan Tol Jakarta-Serang yang berada di Provinsi Banten telah mengalami kerusakan parah pada beberapa titik, menutup akses ekonomi ribuan warga sejak 3 bulan terakhir.","legislative target dprd provinsi. asta cita misi 3. impact scope community. register formal.  aspirasi warga: saat ini, jalan tol jakarta-serang yang berada di provinsi banten telah mengalami kerusakan parah pada beberapa titik, menutup akses ekonomi ribuan warga sejak 3 bulan terakhir.",Infrastruktur,Infrastruktur,4,3,2,2,False,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPRD Provinsi,Community,formal,synthetic_v3.1_asta_urgency
Saya merasa kesulitan mendapatkan kredit untuk membuka bisnis kecil di desa. Saya ingin melihat pemerintah membuat program kredit yang lebih mudah dan murah diakses bagi warga desa,legislative target dprd kab kota. asta cita misi 6. impact scope community. register informal.  aspirasi warga: saya merasa kesulitan mendapatkan kredit untuk membuka bisnis kecil di desa. saya ingin melihat pemerintah membuat program kredit yang lebih mudah dan murah diakses bagi warga desa,Sosial,Infrastruktur,1,1,5,5,True,False,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Community,informal,synthetic_v3.1_asta_urgency
Pendidikan di desa-desa masih belum dapat dijangkau oleh anak-anak karena keterbatasan akses jalan yang rusak sehingga membahayakan keselamatan mereka.,legislative target dprd kab kota. asta cita misi 6. impact scope individual. register formal.  aspirasi warga: di desa-desa masih belum dapat dijangkau oleh anak-anak karena keterbatasan akses jalan yang rusak sehingga membahayakan keselamatan mereka.,Sosial,Infrastruktur,3,3,5,5,True,False,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Individual,formal,synthetic_v3.1_asta_urgency
"Air bersih di desa kami bgt kurang, warga harus jauh jln mencari! Perlu penanganan drastis!","legislative target dprd kab kota. asta cita misi 6. impact scope regional. register informal.  aspirasi warga: air bersih di desa kami sangat kurang, warga harus jauh jalan mencari! perlu penanganan drastis!",Infrastruktur,Infrastruktur,3,3,5,1,False,False,True,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Tanaman padi di Desa Jln Cengkelang, Kabupaten Ciamis, terus-terusan gagal panen karena keterlambatan musim hujan. Harus ada solusi dari pemerintah untuk mengatasi gagal panen ini. #SwasembadaPangan","legislative target dprd kab kota. asta cita misi 2. impact scope national. register informal.  aspirasi warga: padi di desa jalan cengkelang, kabupaten ciamis, terus-terusan gagal panen karena keterlambatan musim hujan. harus ada solusi dari pemerintah untuk mengatasi gagal panen ini. swasembadapangan",Ekonomi,Ekonomi,2,3,1,1,False,True,False,"Misi 2: Swasembada Pangan, Energi, Air, Ekonomi Hijau dan Biru",DPRD Kab/Kota,National,informal,synthetic_v3.1_asta_urgency
"Pemerintah segera melakukan evaluasi dan rehabilitasi pabrik garmen yang tutup di Kabupaten Bekasi, Jawa Barat, pada bulan Maret 2022, yang menyebabkan pengangguran massal dan dampak ekonomi yang signifikan pada masyarakat setempat dalam waktu 6 bulan terakhir.","legislative target dpr ri. asta cita misi 5. impact scope regional. register formal.  aspirasi warga: segera melakukan evaluasi dan rehabilitasi pabrik garmen yang tutup di kabupaten bekasi, jawa barat, pada bulan maret 2022, yang menyebabkan pengangguran massal dan dampak ekonomi yang signifikan pada masyarakat setempat dalam waktu 6 bulan terakhir.",Ekonomi,Ekonomi,4,5,4,4,False,True,False,Misi 5: Hilirisasi dan Industrialisasi,DPR RI,Regional,formal,synthetic_v3.1_asta_urgency
"Fasilitas akses darat yang vital, yaitu Jembatan Suryo Utomo di Desa Sidorejo, Kabupaten Gresik, Jawa Timur, telah rusak berat sejak 6 bulan terakhir, menghambat akses ekonomi warga.","legislative target dpr ri. asta cita misi 3. impact scope community. register formal.  aspirasi warga: akses darat yang vital, yaitu jembatan suryo utomo di desa sidorejo, kabupaten gresik, jawa timur, telah rusak berat sejak 6 bulan terakhir, menghambat akses ekonomi warga.",Infrastruktur,Infrastruktur,4,3,2,2,False,True,False,"Misi 3: Lapangan Kerja, Kewirausahaan, dan Infrastruktur",DPR RI,Community,formal,synthetic_v3.1_asta_urgency
Warga kami sedang menderita karena 5 tahun terakhir tidak ada perbaikan akses jalan. Gak bisa lagi! Tolong!,legislative target dprd kab kota. asta cita misi 6. impact scope regional. register informal.  aspirasi warga: warga kami sedang menderita karena 5 tahun terakhir tidak ada perbaikan akses jalan. tidak bisa lagi! tolong!,Infrastruktur,Infrastruktur,4,3,5,2,False,True,True,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Regional,informal,synthetic_v3.1_asta_urgency
"Jalan di Desa Ciptagelar, Sulawesi Tengah rusak dr tahun lalu, ini bikin warga sulit ke pasar","legislative target dprd kab kota. asta cita misi 6. impact scope community. register informal.  aspirasi warga: jalan di desa ciptagelar, sulawesi tengah rusak dari tahun lalu, ini bikin warga sulit ke pasar",Infrastruktur,Infrastruktur,2,3,5,2,False,True,True,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,Community,informal,synthetic_v3.1_asta_urgency
"Pembangunan desa di Kecamatan Banyuasin III, Provinsi Sumatera Selatan masih menggunakan fasilitas yang tidak memadai sejak tahun 2018. Hal ini menyebabkan kesulitan akses informasi dan layanan kesehatan bagi penduduk setempat.","legislative target dprd kab kota. asta cita misi 6. impact scope national. register formal.  aspirasi warga: desa di kecamatan banyuasin ii, provinsi sumatera selatan masih menggunakan fasilitas yang tidak memadai sejak tahun 2018. hal ini menyebabkan kesulitan akses informasi dan layanan kesehatan bagi penduduk setempat.",Sosial,Infrastruktur,2,3,5,5,True,True,False,Misi 6: Membangun dari Desa dan Kelurahan untuk Pemerataan Ekonomi,DPRD Kab/Kota,National,formal,synthetic_v3.1_asta_urgency
"Saya tahu ada banyak sekali organisasi non-pemerintah yang berdedikasi untuk meningkatkan akses kesehatan di daerah terpencil. Namun, saya rasa pemerintah juga perlu berperan aktif dalam meningkatkan kualitas pelayanan kesehatan di daerah-daerah tersebut. Saya harap pemerintah bisa meningkatkan ketersediaan peralatan dan obat-obatan di fasilitas kesehatan.","legislative target dpr ri. asta cita misi 4. impact scope individual. register informal.  aspirasi warga: saya tahu ada banyak sekali organisasi non-pemerintah yang berdedikasi untuk meningkatkan akses kesehatan di daerah terpencil. namun, saya rasa pemerintah juga perlu berperan aktif dalam meningkatkan kualitas pelayanan kesehatan di daerah-daerah tersebut. saya harap pemerintah bisa meningkatkan ketersediaan peralatan dan obat-obatan di fasilitas kesehatan.",Kesehatan,Pendidikan,2,1,3,3,True,True,False,"Misi 4: SDM, Sains, Teknologi, Pendidikan, Kesehatan",DPR RI,Individual,informal,synthetic_v3.1_asta_urgency
