id,description,category,register,province,urgency,asta_cita,legislative_target,impact_scope,sub_topic,source
ea141621-b486-43d2-859b-738f5c6a2452,butuh pelabuhan baru di kota,Infrastruktur,informal,Kalimantan Timur,5,Misi 6,DPRD Provinsi,Community,pelabuhan,synthetic_strategic_v2
adce514d-5f42-4514-9d05-f3b9b126c988,listrik di desa kurang stabil,Infrastruktur,informal,Kalimantan Timur,3,Misi 3,DPRD Kab/Kota,Individual,listrik,synthetic_strategic_v2
9c20e631-0b34-40c3-9aac-f3bb378108e4,kota butuh Bandara baru,Infrastruktur,informal,NTT,5,Misi 3,DPR RI,Community,bandara,synthetic_strategic_v2
34cea585-18e2-4851-9c37-9f9deef3199c,jalan rusak perlu diperbaiki,Infrastruktur,informal,NTT,2,Misi 6,DPRD Kab/Kota,Community,infrastruktur jalan,synthetic_strategic_v2
7a87d19b-a36f-4e87-84ed-11f28800c805,kebutuhan jaringan internet desa,Infrastruktur,informal,Jambi,4,Misi 6,DPRD Provinsi,Community,jaringan internet,synthetic_strategic_v2
e0358af4-03b1-4918-95f0-cce0f8264bc1,butuh stasiun kereta baru,Infrastruktur,informal,Jambi,5,Misi 3,DPR RI,National,stasiun kereta,synthetic_strategic_v2
c59bd687-67f6-4207-ae30-028179c72ed5,infrastruktur irigasi kurang,Infrastruktur,informal,Sumatera Utara,3,Misi 6,DPRD Kab/Kota,Regional,irigasi,synthetic_strategic_v2
a4a3960f-64e3-4175-b897-392d873cc50a,kota butuh jembatan baru,Infrastruktur,informal,Jawa Barat,4,Misi 3,DPRD Provinsi,National,jembatan,synthetic_strategic_v2
ad7d68d4-f266-417e-9984-fb193a20c0a9,listrik di kota sering padam,Infrastruktur,informal,NTT,5,Misi 3,DPRD Kab/Kota,Community,listrik,synthetic_strategic_v2
3503e697-e814-4c3c-a2b9-2570807ae817,butuh jalan tol ke pedesaan,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPRD Kab/Kota,Individual,Infrastruktur,synthetic_strategic_v2
8e2bf002-f0f3-47ee-a7fd-1916eea80f41,perbaiki jembatan rusak di desa,Infrastruktur,informal,Papua,5,Misi 6,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
5e48d1d3-7359-44a6-b410-f3e5326a20b2,bikin lapangan kerja baru di kota,Infrastruktur,informal,Papua,3,Misi 3,DPR RI,Individual,Infrastruktur,synthetic_strategic_v2
6a0a92fc-bfc5-48c0-b35c-7dce954e2088,koneksikan desa2 ke internet,Infrastruktur,informal,Sumatera Utara,2,Misi 6,DPRD Provinsi,National,Infrastruktur,synthetic_strategic_v2
4d5c279d-cbc8-4a9b-a045-cbc56a8c0edd,bangun rumah sakit di pelosok,Infrastruktur,informal,Jambi,5,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur,synthetic_strategic_v2
bc9f7be2-aed5-4331-8df7-81c9d610842b,perluat listrik di desa terpencil,Infrastruktur,informal,NTT,1,Misi 6,DPRD Provinsi,Individual,Infrastruktur,synthetic_strategic_v2
18281ab5-aed8-436f-bcfe-45ac987868b8,buka lowongan kerja baru di desa,Infrastruktur,informal,Kalimantan Timur,4,Misi 3,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
2946839d-8ace-49bd-9173-860bb96fed65,aspal jalan desa yang rusak,Infrastruktur,informal,Kalimantan Timur,3,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur,synthetic_strategic_v2
21db5e92-f11f-4dfb-b59c-1c0f35ccf0f7,bikin pelabuhan baru di pesisir,Infrastruktur,informal,Kalimantan Timur,2,Misi 3,DPR RI,National,Infrastruktur,synthetic_strategic_v2
43b5546c-8112-4a60-bf51-7dfdded8fead,kembangkan wisata desa,Infrastruktur,informal,Jawa Timur,1,Misi 6,DPRD Kab/Kota,National,Infrastruktur,synthetic_strategic_v2
837cc0cf-bfe4-4645-a556-fbfd3e1fac0b,perbaiki jalan rusak di desa,Infrastruktur,informal,NTT,4,Misi 6,DPRD Kab/Kota,National,infrastruktur jalan,synthetic_strategic_v2
2a25d5a8-ab65-4632-8842-7d0f8507684e,bikin lapangan kerja di desa,Infrastruktur,informal,Kalimantan Timur,5,Misi 3,DPR RI,Individual,lapangan kerja,synthetic_strategic_v2
d61f56c1-cd7b-4568-9381-39209417395d,sambungkan internet ke desa terpencil,Infrastruktur,informal,Jawa Barat,3,Misi 6,DPRD Provinsi,Individual,infrastruktur digital,synthetic_strategic_v2
18f12f98-d9c1-4b12-8f03-b7ec02763ce8,perluas jaringan listrik ke pedesaan,Infrastruktur,informal,Sumatera Utara,4,Misi 3,DPR RI,Community,infrastruktur energi,synthetic_strategic_v2
0904ee2c-8302-4f5b-95ba-b168b9dc749a,bantu pengusaha kecil di desa,Infrastruktur,informal,Papua,5,Misi 3,DPRD Kab/Kota,National,kewirausahaan,synthetic_strategic_v2
5661871e-7cfe-489d-bba5-f341d7f732ad,buat jalan akses ke pasar tradisional,Infrastruktur,informal,Kalimantan Timur,3,Misi 6,DPRD Kab/Kota,Community,infrastruktur perdagangan,synthetic_strategic_v2
d92325ba-a10e-4eeb-bea3-6ea760de2c7e,sediakan air bersih di desa,Infrastruktur,informal,NTT,5,Misi 6,DPRD Provinsi,Regional,infrastruktur air,synthetic_strategic_v2
1d9f4b86-614e-42c4-8df6-e38762616a25,bangun pusat pelatihan kerja,Infrastruktur,informal,NTT,4,Misi 3,DPR RI,National,lapangan kerja,synthetic_strategic_v2
54bc2a3e-fa5a-4234-a57f-bf5909b26952,perbaiki drainase di desa,Infrastruktur,informal,Sumatera Utara,3,Misi 6,DPRD Kab/Kota,Individual,infrastruktur lingkungan,synthetic_strategic_v2
5504f842-a400-498b-bd8d-54772e8c8f29,dukung UMKM di desa,Infrastruktur,informal,Jawa Timur,5,Misi 3,DPRD Provinsi,National,kewirausahaan,synthetic_strategic_v2
eae10a7f-cba7-4f2e-973b-6ec51b2ed94c,bikin lapangan kerja baru,Infrastruktur,informal,NTT,5,Misi 3,DPR RI,Regional,pengembangan infrastruktur,synthetic_strategic_v2
b388a414-c0ae-4bb9-ac6c-e62b17fb9497,Tambah angkutan umum,Infrastruktur,informal,Jambi,3,Misi 3,DPRD Provinsi,National,transportasi,synthetic_strategic_v2
b3d61ae9-2552-4a11-87d7-3d9ffb1c450a,perluas jaringan internet,Infrastruktur,informal,Sumatera Utara,4,Misi 6,DPRD Kab/Kota,National,infrastruktur digital,synthetic_strategic_v2
a6eb2069-f9b2-467b-9dfd-c48b863e969e,buka lowongan kerja,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPR RI,National,lapangan kerja,synthetic_strategic_v2
90a024e9-4e16-44d1-b6af-2939abafd20d,bangun infrastruktur pedesaan,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Kab/Kota,Individual,infrastruktur dasar,synthetic_strategic_v2
4d8b09f6-9007-4098-9e7c-7bcedce8459c,tingkatkan kualitas jalan,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPRD Provinsi,National,infrastruktur jalan,synthetic_strategic_v2
04e9f0f4-7e48-43b2-9ca3-481380ae53b3,tambah tempat wisata,Infrastruktur,informal,Sumatera Utara,3,Misi 6,DPRD Kab/Kota,Individual,pariwisata,synthetic_strategic_v2
741fe458-5df2-4a9d-abcf-2259929c8b4f,perluas layanan kesehatan,Infrastruktur,informal,Papua,5,Misi 6,DPRD Kab/Kota,Regional,infrastruktur kesehatan,synthetic_strategic_v2
62c33cc5-b380-412d-b384-0df10c47490c,bikin kawasan industri baru,Infrastruktur,informal,Papua,4,Misi 3,DPR RI,National,pengembangan industri,synthetic_strategic_v2
941bfbca-312b-4ec7-9d2a-f5d25bfc8c99,Butuh jalan tol baru buat kurangin kemacetan,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPR RI,Community,infrastruktur jalan,synthetic_strategic_v2
1becce34-d199-4172-add1-efd7e92f6838,Desa butuh jaringan internet cepat,Infrastruktur,informal,Jawa Barat,5,Misi 6,DPRD Kab/Kota,Community,infrastruktur digital,synthetic_strategic_v2
412e807b-07f5-4957-9455-775fbb83af22,Buat tempat olahraga yang representative di kabupaten,Infrastruktur,informal,Jawa Timur,3,Misi 3,DPRD Kab/Kota,Regional,infrastruktur olahraga,synthetic_strategic_v2
cd703f4b-db97-4cee-96a5-8194796bbde7,Penambahan bandara di daerah terpencil,Infrastruktur,informal,Jambi,5,Misi 6,DPR RI,National,infrastruktur transportasi,synthetic_strategic_v2
083a9a72-01cd-488e-b228-2ef1fb5230e5,Perluadukan jalan raya yang rusak di kota,Infrastruktur,informal,Jambi,4,Misi 3,DPRD Kab/Kota,Community,infrastruktur jalan,synthetic_strategic_v2
d3060d08-01e7-40c6-91fd-2bb7a1b28610,Butuh pusat bisnis baru di kota kecil,Infrastruktur,informal,NTT,4,Misi 6,DPRD Kab/Kota,National,infrastruktur ekonomi,synthetic_strategic_v2
b148b0f5-9380-4d5f-a39d-afbd77420dd4,Pembangunan pelabuhan baru di pesisir,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPR RI,Community,infrastruktur transportasi,synthetic_strategic_v2
0b580deb-2c49-42ea-aafb-ead582190f34,Pembangunan gedung sekolah yang memadai,Infrastruktur,informal,Kalimantan Timur,5,Misi 6,DPRD Kab/Kota,Regional,infrastruktur pendidikan,synthetic_strategic_v2
88236361-fccd-4928-8d70-567faf09d4f8,Membangun jaringan irigasi yang baik,Infrastruktur,informal,NTT,4,Misi 6,DPRD Kab/Kota,National,infrastruktur pertanian,synthetic_strategic_v2
dd335ab9-d18b-4e74-be56-c06a9084819f,Perluasan pusat kesehatan di daerah,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPRD Kab/Kota,Regional,infrastruktur kesehatan,synthetic_strategic_v2
f2bf0695-88b3-421b-96b9-b5703f708c19,Buat jalan desa lebih bagus,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur Jalan,synthetic_strategic_v2
7696373f-691c-4055-9001-dcc65864d7f1,Perbaiki jembatan rusak,Infrastruktur,informal,Papua,5,Misi 3,DPRD Provinsi,Individual,Infrastruktur Jembatan,synthetic_strategic_v2
6416c7bd-b7d3-4a89-8425-a9db05137800,Bangun pusat kerja di desa,Infrastruktur,informal,Sumatera Utara,3,Misi 3,DPR RI,National,Pusat Kerja,synthetic_strategic_v2
39c5ccec-6cd2-4b7c-a027-7a0e3d2d7e7b,Buat internet lebih cepat,Infrastruktur,informal,Sumatera Utara,2,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur Internet,synthetic_strategic_v2
f17fbe89-ebb6-487f-8c11-5bdd8e56ceec,Perluaskan jaringan listrik,Infrastruktur,informal,Jawa Barat,4,Misi 3,DPRD Provinsi,Regional,Infrastruktur Listrik,synthetic_strategic_v2
46defa8d-0ab9-4794-89fd-32467d9ef382,Buat fasilitas air bersih,Infrastruktur,informal,Jawa Timur,5,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur Air Bersih,synthetic_strategic_v2
dc434e20-cc2c-4b06-ba76-db1bf9c2e34f,Perbaiki drainase kota,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPRD Provinsi,Community,Infrastruktur Drainase,synthetic_strategic_v2
a34aeba8-1c74-4ea6-956b-fa65b7efc073,Bangun tempat ibadah,Infrastruktur,informal,NTT,3,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur Ibadah,synthetic_strategic_v2
e5c5254a-35ed-4be1-91b1-b502ac8d905c,Buat jalur sepeda,Infrastruktur,informal,NTT,2,Misi 3,DPRD Kab/Kota,Individual,Infrastruktur Sepeda,synthetic_strategic_v2
7ee90c82-4019-434b-9bda-8803cb269f06,Perluas akses transportasi,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPR RI,Community,Infrastruktur Transportasi,synthetic_strategic_v2
8a149bbb-a0db-4051-9457-41dc1ae8406f,Buat jalan tol di desa,Infrastruktur,informal,NTT,4,Misi 3,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
c238e6fe-6f2c-4792-bf92-7c985c89182c,Buat lapangan kerja baru,Infrastruktur,informal,Sumatera Utara,3,Misi 3,DPR RI,Community,Infrastruktur,synthetic_strategic_v2
7f522207-9b5c-4612-806c-d4cebb0bf7d0,Dukung UMKM dengan infrastruktur,Infrastruktur,informal,Sumatera Utara,2,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur,synthetic_strategic_v2
bc503c75-94ae-401c-ac77-0c25c88c2e41,Perluas jaringan internet desa,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Provinsi,Regional,Infrastruktur,synthetic_strategic_v2
cd80cec2-547f-47a8-a7c0-2739c86e7cb7,Buat pelabuhan baru,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPR RI,National,Infrastruktur,synthetic_strategic_v2
fbe5c7ac-8822-4f35-aeff-387ff3d4b192,Dukung pariwisata dengan infrastruktur,Infrastruktur,informal,Jawa Barat,3,Misi 6,DPRD Provinsi,Regional,Infrastruktur,synthetic_strategic_v2
acb5a4a0-0e92-4835-939f-873b073fee99,Perluas layanan transportasi umum,Infrastruktur,informal,Jambi,5,Misi 3,DPR RI,Community,Infrastruktur,synthetic_strategic_v2
3456c87a-94d6-42ac-af6c-613758dc14cc,perlu jalan tol di desa,Infrastruktur,informal,Jambi,4,Misi 3,DPRD Kab/Kota,Regional,infrastruktur desa,synthetic_strategic_v2
263786ba-7370-4e15-9340-4b4062f6b0c3,butuh wifi di sekolah,Infrastruktur,informal,NTT,5,Misi 6,DPRD Provinsi,National,infrastruktur pendidikan,synthetic_strategic_v2
edc7df18-860f-4397-8dc8-c5454f98a838,perlukan listrik yang stabil,Infrastruktur,informal,Jambi,5,Misi 6,DPRD Provinsi,National,infrastruktur energi,synthetic_strategic_v2
80aac984-fc05-4de9-ba29-9e8dcccb10df,butuh tempat wisata baru,Infrastruktur,informal,Jawa Timur,2,Misi 3,DPRD Kab/Kota,Community,infrastruktur pariwisata,synthetic_strategic_v2
9aadbdda-58ca-4bcb-8920-c9f8c368bd18,jembatan rusak perlu diperbaiki,Infrastruktur,informal,Jawa Timur,4,Misi 3,DPRD Kab/Kota,Regional,infrastruktur jembatan,synthetic_strategic_v2
52076d6c-9fad-4d6a-a580-9f23d5e46f62,perlu penambahan armada bus,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Provinsi,Regional,infrastruktur transportasi,synthetic_strategic_v2
d9ef352e-437b-45f7-a717-05b34f8df03e,butuh fasilitas olah raga,Infrastruktur,informal,Papua,3,Misi 3,DPRD Kab/Kota,Individual,infrastruktur olah raga,synthetic_strategic_v2
b58af870-83a3-42da-b653-7154c5d9f78c,jalan lingkungan perlu diperlebar,Infrastruktur,informal,Papua,2,Misi 6,DPRD Kab/Kota,National,infrastruktur lingkungan,synthetic_strategic_v2
00ba30e1-9dc9-4352-b85f-02e7e4bb6acd,perlu pembangunan bandara baru,Infrastruktur,informal,Papua,5,Misi 3,DPR RI,National,infrastruktur bandara,synthetic_strategic_v2
8282075b-50c5-47a3-bce6-33c89c8f0723,Butuh jalan tol baru di desa,Infrastruktur,informal,Kalimantan Timur,4,Misi 3,DPRD Kab/Kota,Community,infrastruktur desa,synthetic_strategic_v2
3b1680b7-582e-4b46-93ca-1e390d57fe6e,Perlu wifi di setiap kelurahan,Infrastruktur,informal,Sumatera Utara,3,Misi 6,DPRD Kab/Kota,National,infrastruktur digital,synthetic_strategic_v2
c27dd47f-f739-4c7d-96b9-bb96b771df52,Buka lowongan kerja di proyek infrastruktur,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPR RI,Regional,lapangan kerja,synthetic_strategic_v2
5aec6665-8876-4c9d-aa32-5ec41ab0f621,Tingkatkan kualitas jalan kabupaten,Infrastruktur,informal,Kalimantan Timur,4,Misi 6,DPRD Kab/Kota,Individual,infrastruktur jalan,synthetic_strategic_v2
6e2393ce-2c06-43a9-8095-c65ad9007412,Dukung wirausaha di bidang infrastruktur,Infrastruktur,informal,Jawa Timur,3,Misi 3,DPR RI,National,kewirausahaan,synthetic_strategic_v2
866f38b3-04b4-47c1-a1ce-5d4b80484ed8,Perlu pencahayaan jalan yang lebih baik,Infrastruktur,informal,Sumatera Utara,2,Misi 6,DPRD Kab/Kota,Regional,infrastruktur pencahayaan,synthetic_strategic_v2
374e786d-bd83-41a7-8745-0c30535e89c6,Buat sistem transportasi umum yang efisien,Infrastruktur,informal,Jawa Timur,5,Misi 3,DPR RI,Community,infrastruktur transportasi,synthetic_strategic_v2
c9d41bc0-69e1-4f0e-b40f-2b1a1cd2dd9d,Tingkatkan akses internet di daerah terpencil,Infrastruktur,informal,Sumatera Utara,4,Misi 6,DPRD Provinsi,Community,infrastruktur digital,synthetic_strategic_v2
2e0c1604-68b2-44e4-beb0-cdef0574b290,Perlu fasilitas umum yang memadai di desa,Infrastruktur,informal,NTT,3,Misi 6,DPRD Kab/Kota,Individual,infrastruktur desa,synthetic_strategic_v2
a231000e-65bb-4895-a6c3-582a18be5441,Dukung pembangunan infrastruktur hijau,Infrastruktur,informal,Sumatera Utara,4,Misi 3,DPR RI,Community,infrastruktur hijau,synthetic_strategic_v2
065c5e3e-66e4-46de-9a4d-7765eda3964d,butuh jalan tol baru buat kurangi macet,Infrastruktur,informal,Jambi,4,Misi 3,DPR RI,Regional,Infrastruktur,synthetic_strategic_v2
a15f36a0-800b-429a-a1c2-358fdb02d9a7,perlu penambahan jalur kereta api,Infrastruktur,informal,Jawa Barat,5,Misi 3,DPR RI,Community,Infrastruktur,synthetic_strategic_v2
0ebd62e7-8529-489d-a97e-180e8fe7c1d8,desa butuh jaringan internet cepat,Infrastruktur,informal,Kalimantan Timur,3,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur,synthetic_strategic_v2
4271cae8-c3b6-4b23-81a0-87be6ef04b72,perlukan bandara baru di daerah terpencil,Infrastruktur,informal,Jambi,5,Misi 3,DPR RI,Regional,Infrastruktur,synthetic_strategic_v2
1ce329c2-b9c5-4c82-b542-bbf9f1e70043,jalan rusak butuh perbaikan,Infrastruktur,informal,Jambi,4,Misi 6,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
bf8050c1-c93a-42d5-8dce-9308dac2c5e7,butuh pelabuhan baru untuk ekspor,Infrastruktur,informal,Jambi,5,Misi 3,DPR RI,National,Infrastruktur,synthetic_strategic_v2
e4a48266-bb9c-473a-a761-b6ff22315780,kota butuh sistem drainase yang baik,Infrastruktur,informal,Jawa Barat,4,Misi 6,DPRD Kab/Kota,Community,Infrastruktur,synthetic_strategic_v2
418e4b3c-0f4f-4084-b6d6-0c1cdba6eac1,desa butuh listrik yang stabil,Infrastruktur,informal,NTT,3,Misi 6,DPRD Kab/Kota,National,Infrastruktur,synthetic_strategic_v2
3d831601-6b19-49df-b0d1-d12b4b7fce24,kota butuh taman kota yang lebih banyak,Infrastruktur,informal,Papua,2,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur,synthetic_strategic_v2
4455fbd0-be7a-407f-86e2-2741277c4c99,jalan tol harusnya ada di setiap provinsi,Infrastruktur,informal,Jawa Timur,5,Misi 3,DPR RI,National,Infrastruktur,synthetic_strategic_v2
c3b46c93-0e2e-4cfc-aab5-4e0e36f62492,Membangun jalan tol untuk meningkatkan akses ke sentra industri,Infrastruktur,formal,NTT,4,Misi 3,DPR RI,Regional,Infrastruktur Transportasi,synthetic_strategic_v2
f99e289a-bc7b-4b9f-abdb-3487854a9809,Mengembangkan infrastruktur pendukung usaha mikro di desa,Infrastruktur,formal,Jawa Barat,3,Misi 6,DPRD Kab/Kota,Community,Pengembangan Ekonomi Desa,synthetic_strategic_v2
56f9f866-86da-45dd-ba2b-6e452aff9cbc,Pembangunan sistem irigasi yang efektif untuk meningkatkan produksi pertanian,Infrastruktur,formal,Sumatera Utara,5,Misi 3,DPRD Provinsi,Regional,Infrastruktur Pertanian,synthetic_strategic_v2
e19f7d30-31df-4686-a28c-8854361fac37,Membangun pusat pelatihan vokasional untuk meningkatkan keterampilan kerja,Infrastruktur,formal,Jawa Timur,4,Misi 3,DPR RI,Regional,Pengembangan Sumber Daya Manusia,synthetic_strategic_v2
935aa82c-66f4-477b-966f-1fe05531dd63,Mengembangkan infrastruktur digital di daerah terpencil,Infrastruktur,formal,Kalimantan Timur,4,Misi 6,DPRD Provinsi,Community,Infrastruktur Digital,synthetic_strategic_v2
bc74f5db-5156-4b78-a87f-ea1320a7e49d,Pembangunan fasilitas umum yang ramah lingkungan di kota,Infrastruktur,formal,Jambi,3,Misi 3,DPRD Kab/Kota,Community,Infrastruktur Kota,synthetic_strategic_v2
e9efe6de-31eb-4f9c-ae33-fded02be813c,Mengembangkan sistem transportasi umum yang efisien dan terintegrasi,Infrastruktur,formal,Kalimantan Timur,5,Misi 3,DPR RI,National,Infrastruktur Transportasi,synthetic_strategic_v2
4c8b6b6b-9fc5-4144-aa79-5934e4a32410,Pembangunan infrastruktur penunjang pariwisata di daerah wisata,Infrastruktur,formal,Sumatera Utara,4,Misi 6,DPRD Kab/Kota,Regional,Pengembangan Pariwisata,synthetic_strategic_v2
ddf73b20-032d-47cb-b09a-3e8343b4f940,Mengembangkan sistem energi terbarukan untuk meningkatkan kemandirian energi,Infrastruktur,formal,Jambi,5,Misi 3,DPR RI,Regional,Energi Terbarukan,synthetic_strategic_v2
b92d8956-f6b0-4969-b5b1-7261080681fb,Pembangunan fasilitas olahraga dan rekreasi untuk meningkatkan kualitas hidup,Infrastruktur,formal,Kalimantan Timur,3,Misi 6,DPRD Kab/Kota,Regional,Fasilitas Olahraga dan Rekreasi,synthetic_strategic_v2
9361141d-3f4d-4f3c-98b6-7fe97ad11940,Membangun jalan tol baru,Infrastruktur,formal,Papua,4,Misi 3,DPR RI,Regional,Infrastruktur Transportasi,synthetic_strategic_v2
d50e5ff0-6275-45f4-a606-25bd35b690f8,Perluasan bandara,Infrastruktur,formal,Jawa Barat,5,Misi 3,DPRD Provinsi,Regional,Infrastruktur Transportasi,synthetic_strategic_v2
eb3f992b-d0f2-4e09-9621-9d434ec04e6b,Pembangunan pelabuhan baru,Infrastruktur,formal,Jawa Timur,4,Misi 3,DPR RI,Regional,Infrastruktur Transportasi,synthetic_strategic_v2
89c56c20-baf8-439c-bf95-55718cfca436,Pengembangan infrastruktur desa,Infrastruktur,formal,Papua,3,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur Desa,synthetic_strategic_v2
be27de5b-7629-4829-ae4e-ce61781bfb81,Pembangunan jaringan internet desa,Infrastruktur,formal,Sumatera Utara,2,Misi 6,DPRD Kab/Kota,Individual,Infrastruktur Teknologi,synthetic_strategic_v2
a071cf8a-397f-4367-a51c-33d71bd489b6,Membangun rumah sakit umum,Infrastruktur,formal,Sumatera Utara,5,Misi 3,DPRD Provinsi,Regional,Infrastruktur Kesehatan,synthetic_strategic_v2
10bfaef3-7c08-4310-8a4f-619c3123b53e,Pengembangan infrastruktur pariwisata,Infrastruktur,formal,Kalimantan Timur,4,Misi 3,DPRD Provinsi,National,Infrastruktur Pariwisata,synthetic_strategic_v2
559ca24f-2fd4-4135-8e7b-5ea0156d23f2,Pembangunan pusat pendidikan,Infrastruktur,formal,Sumatera Utara,3,Misi 6,DPRD Kab/Kota,Regional,Infrastruktur Pendidikan,synthetic_strategic_v2
